number,name,status
1,PEP Purpose and Guidelines,
399,Pure Python/C Accelerator Module Compatibility Requirements,
394,The “python” Command on Unix-Like Systems,
430,Migrating to Python 3 as the default online documentation,
291,Backward Compatibility for the Python 2 Standard Library,
333,Python Web Server Gateway Interface v1.0,
290,Code Migration and Modernization,
272,API for Block Encryption Algorithms v1.0,
287,reStructuredText Docstring Format,
257,Docstring Conventions,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
247,API for Cryptographic Hash Functions,
101,Doing Python Releases 101,
20,The Zen of Python,
676,PEP Infrastructure Process,
3145,Asynchronous I/O For subprocess.Popen,
345,Metadata for Python Software Packages 1.2,
3142,Add a “while” clause to generator expressions,
3140,"str(container) should call str(item), not repr(item)",
622,Structural Pattern Matching,
620,Hide implementation details from the C API,
8015,Organization of the Python community,
611,The one million limit,
8014,The Commons Governance Model,
8012,The Community Governance Model,
8013,The External Council Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
8010,The Technical Leader Governance Model,
3153,Asynchronous IO support,
3152,Cofunctions,
3146,Merging Unladen Swallow into CPython,
3139,Cleaning out sys and the “interpreter” module,
3133,Introducing Roles,
3128,BList: A Faster List-like Type,
3126,Remove Implicit String Concatenation,
3125,Remove Backslash Continuation,
3122,Delineation of the main module,
3136,Labeled break and continue,
3130,Access to Current Module/Class/Function,
3117,Postfix type declarations,
3103,A Switch/Case Statement,
3001,Procedure for reviewing and improving standard library modules,
754,IEEE 754 Floating Point Special Values,
713,Callable Modules,
707,A simplified signature for __exit__ and __aexit__,
704,Require virtual environments by default for package installers,
690,Lazy Imports,
665,A file format to list Python dependencies for reproducibility of an application,
677,Callable Type Syntax,
666,Reject Foolish Indentation,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
648,Extensible customizations of the interpreter at startup,
645,Allow writing optional types as ,
640,Unused variable syntax,
637,Support for indexing with keyword arguments,
633,Dependency specification in pyproject.toml using an exploded TOML table,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
631,Dependency specification in pyproject.toml based on PEP 508,
606,Python Compatibility Version,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
598,Introducing incremental feature releases,
595,Improving bugs.python.org,
605,A rolling feature release stream for CPython,
608,Coordinated Python release,
582,Python local packages directory,
583,A Concurrency Memory Model for Python,
576,Rationalize Built-in function classes,
575,Unifying function/method classes,
559,Built-in noop(),
580,The C call protocol,
577,Augmented Assignment Expressions,
571,The manylinux2010 Platform Tag,
555,Context-local variables (contextvars),
551,Security transparency in the Python runtime,
549,Instance Descriptors,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
543,A Unified TLS API for Python,
550,Execution Context,
548,More Flexible Loop Control,
531,Existence checking operators,
542,Dot Notation Assignment In Function Header,
522,Allow BlockingIOError in security sensitive APIs,
521,Managing global context via ‘with’ blocks in generators and coroutines,
509,Add a private version to dict,
507,Migrate CPython to Git and GitLab,
516,Build system abstraction for pip/conda etc,
513,A Platform Tag for Portable Linux Built Distributions,
511,API for code transformers,
510,Specialize functions with guards,
500,A protocol for delegating datetime methods to their tzinfo implementations,
496,Environment Markers,
490,Chain exceptions at C level,
504,Using the System RNG by default,
502,String Interpolation - Extended Discussion,
497,A standard mechanism for backward compatibility,
481,"Migrate CPython to Git, Github, and Phabricator",
474,Creating forge.python.org,
473,Adding structured data to built-in exceptions,
469,Migration of dict iteration code to Python 3,
459,Standard Metadata Extensions for Python Software Packages,
463,Exception-catching expressions,
462,Core development workflow automation for CPython,
455,Adding a key-transforming dictionary to collections,
460,Add binary interpolation and formatting,
472,Support for indexing with keyword arguments,
439,Inclusion of implicit pip bootstrap in Python installation,
437,"A DSL for specifying signatures, annotations and argument converters",
431,Time zone support improvements,
433,Easier suppression of file descriptor inheritance,
422,Simpler customisation of class creation,
416,Add a frozendict builtin type,
432,Restructuring the CPython startup sequence,
426,Metadata for Python Software Packages 2.0,
413,Faster evolution of the Python Standard Library,
411,Provisional packages in the Python standard library,
410,Use decimal.Decimal type for timestamps,
406,Improved Encapsulation of Import State,
408,Standard library __preview__ package,
401,BDFL Retirement,
396,Module Version Numbers,
395,Qualified Names for Modules,
402,Simplified Package Layout and Partitioning,
390,Static metadata for Distutils,
386,Changing the version comparison module in Distutils,
382,Namespace Packages,
381,Mirroring infrastructure for PyPI,
379,Adding an Assignment Expression,
377,Allow __enter__() methods to skip the statement body,
367,New Super,
365,Adding the pkg_resources module,
364,Transitioning to the Py3K Standard Library,
369,Post import hooks,
363,Syntax For Dynamic Attribute Access,
359,The “make” Statement,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
351,The freeze protocol,
350,Codetags,
349,Allow str() to return unicode strings,
346,User Defined (”,
348,Exception Reorganization for Python 3.0,
344,Exception Chaining and Embedded Tracebacks,
334,Simple Coroutines via SuspendIteration,
332,Byte vectors and String/Unicode Unification,
336,Make None Callable,
340,Anonymous Block Statements,
339,Design of the CPython Compiler,
330,Python Bytecode Verification,
335,Overloadable Boolean Operators,
329,Treating Builtins as Constants in the Standard Library,
319,Python Synchronize/Asynchronize Block,
317,Eliminate Implicit Exception Instantiation,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
315,Enhanced While Loop,
321,Date/Time Parsing and Formatting,
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,
310,Reliable Acquisition/Release Pairs,
306,How to Change Python’s Grammar,
304,Controlling Generation of Bytecode Files,
303,Extend divmod() for Multiple Divisors,
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
275,Switching on Multiple Values,
294,Type Names in the types Module,
288,Generators Attributes and Exceptions,
296,Adding a bytes Object Type,
295,Interpretation of multiline string constants,
284,Integer for-loops,
276,Simple Iterator for ints,
281,Loop Counter Iteration with range and xrange,
271,Prefixing sys.path by command line option,
270,uniq method for list objects,
268,Extended HTTP functionality and WebDAV,
262,A Database of Installed Python Packages,
266,Optimizing Global Variable/Attribute Access,
259,Omit printing newline after newline,
265,Sorting Dictionaries by Value,
258,Docutils Design Specification,
254,Making Classes Look More Like Types,
245,Python Interface Syntax,
256,Docstring Processing System Framework,
244,The ,
246,Object Adaptation,
241,Metadata for Python Software Packages,
243,Module Repository Upload Mechanism,
242,Numeric Kinds,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
231,__findattr__(),
228,Reworking Python’s Numeric Model,
224,Attribute Docstrings,
216,Docstring Format,
225,Elementwise/Objectwise Operators,
220,"Coroutines, Generators, Continuations",
215,String Interpolation,
212,Loop Counter Iteration,
211,Adding A New Outer Product Operator,
210,Decoupling the Interpreter Loop,
206,Python Advanced Library,
204,Range Literals,
209,Multi-dimensional Arrays,
103,Collecting information about git,
102,Doing Python Micro Releases,
42,Feature Requests,
3,Guidelines for Handling Bug Reports,
9,Sample Plaintext PEP Template,
3150,Statement local namespaces (aka “given” clause),
3143,Standard daemon process library,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
674,Disallow using macros as l-values,
568,Generator-sensitivity for Context Variables,
558,Defined semantics for locals(),
556,Threaded garbage collection,
533,Deterministic cleanup for iterators,
547,Running extension modules using the -m option,
536,Final Grammar for Literal String Interpolation,
532,A circuit breaking protocol and binary operators,
535,Rich comparison chaining,
505,None-aware operators,
534,Improved Errors for Missing Standard Library Modules,
501,General purpose string interpolation,
419,Protecting cleanup statements from interruptions,
499,,
491,The Wheel Binary Package Format 1.9,
447,Add __getdescriptor__ method to metaclass,
444,Python Web3 Interface,
423,Naming conventions and recipes related to packaging,
407,New release cycle and introducing long-term support versions,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
337,Logging Usage in the Standard Library,
403,General purpose decorator clause (aka “@in” clause),
316,Programming by Contract for Python,
286,Enhanced Argument Tuples,
368,Standard image protocol and class,
323,Copyable Iterators,
312,Simple Implicit Lambda,
233,Python Online Help,
280,Optimizing access to globals,
222,Web Library Enhancements,
269,Pgen Module for Python,
267,Optimized Access to Module Namespaces,
213,Attribute Access Handlers,
8001,Python Governance Voting Process,
219,Stackless Python,
3100,Miscellaneous Python 3.0 Plans,
3099,Things that will Not Change in Python 3000,
3003,Python Language Moratorium,
3002,Procedure for Backwards-Incompatible Changes,
3000,Python 3000,
545,Python Documentation Translations,
541,Package Index Name Retention,
537,Python 3.7 Release Schedule,
494,Python 3.6 Release Schedule,
478,Python 3.5 Release Schedule,
470,Removing External Hosting Support on PyPI,
464,Removal of the PyPI Mirror Authenticity API,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
512,Migrating from hg.python.org to GitHub,
438,Transitioning to release-file hosting on PyPI,
429,Python 3.4 Release Schedule,
373,Python 2.7 Release Schedule,
404,Python 2.8 Un-release Schedule,
398,Python 3.3 Release Schedule,
361,Python 2.6 and 3.0 Release Schedule,
385,Migrating from Subversion to Mercurial,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
392,Python 3.2 Release Schedule,
356,Python 2.5 Release Schedule,
347,Migrating the Python CVS to Subversion,
283,Python 2.3 Release Schedule,
251,Python 2.2 Release Schedule,
226,Python 2.1 Release Schedule,
360,Externally Maintained Packages,
320,Python 2.4 Release Schedule,
200,Python 2.0 Release Schedule,
160,Python 1.6 Release Schedule,
3155,Qualified name for classes and functions,
3154,Pickle protocol version 4,
3151,Reworking the OS and IO exception hierarchy,
3149,ABI version tagged .so files,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3148,futures - execute computations asynchronously,
3147,PYC Repository Directories,
3144,IP Address Manipulation Library for the Python Standard Library,
3141,A Type Hierarchy for Numbers,
3138,String representation in Python 3000,
3137,Immutable Bytes and Mutable Buffer,
3135,New Super,
3134,Exception Chaining and Embedded Tracebacks,
3132,Extended Iterable Unpacking,
3131,Supporting Non-ASCII Identifiers,
3129,Class Decorators,
3120,Using UTF-8 as the default source encoding,
3115,Metaclasses in Python 3000,
3127,Integer Literal Support and Syntax,
3123,Making PyObject_HEAD conform to standard C,
3119,Introducing Abstract Base Classes,
3114,Renaming iterator.next() to iterator.__next__(),
3118,Revising the buffer protocol,
3116,New I/O,
3113,Removal of Tuple Parameter Unpacking,
3112,Bytes literals in Python 3000,
3111,Simple input built-in in Python 3000,
3109,Raising Exceptions in Python 3000,
3108,Standard Library Reorganization,
3107,Function Annotations,
3106,"Revamping dict.keys(), .values() and .items()",
3110,Catching Exceptions in Python 3000,
3102,Keyword-Only Arguments,
697,Limited C API for Extending Opaque Types,
3105,Make print a function,
3101,Advanced String Formatting,
721,Using tarfile.data_filter for source distribution extraction,
715,Disabling bdist_egg distribution uploads on PyPI,
706,Filter for tarfile.extractall,
3104,Access to Names in Outer Scopes,
689,Unstable C API tier,
682,Format Specifier for Signed Zero,
670,Convert macros to functions in the Python C API,
660,Editable installs for pyproject.toml based builds (wheel based),
657,Include Fine Grained Error Locations in Tracebacks,
656,Platform Tag for Linux Distributions Using Musl,
644,Require OpenSSL 1.1.1 or newer,
652,Maintaining the Stable ABI,
643,Metadata for Package Source Distributions,
629,Versioning PyPI’s Simple API,
628,Add ,
627,Recording installed projects,
626,Precise line numbers for debugging and other tools.,
624,Remove Py_UNICODE encoder APIs,
621,Storing project metadata in pyproject.toml,
623,Remove wstr from Unicode,
614,Relaxing Grammar Restrictions On Decorators,
610,Recording the Direct URL Origin of installed distributions,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
597,Add optional EncodingWarning,
594,Removing dead batteries from the standard library,
592,Adding “Yank” Support to the Simple API,
618,Add Optional Length-Checking To zip,
616,String methods to remove prefixes and suffixes,
570,Python Positional-Only Parameters,
567,Context Variables,
587,Python Initialization Configuration,
585,Type Hinting Generics In Standard Collections,
584,Add Union Operators To dict,
574,Pickle protocol 5 with out-of-band data,
573,Module State Access from C Extension Methods,
572,Assignment Expressions,
552,Deterministic pycs,
566,Metadata for Python Software Packages 2.1,
565,Show DeprecationWarning in __main__,
562,Module __getattr__ and __dir__,
564,Add new time functions with nanosecond resolution,
561,Distributing and Packaging Type Information,
553,Built-in breakpoint(),
557,Data Classes,
539,A New C-API for Thread-Local Storage in CPython,
538,Coercing the legacy C locale to a UTF-8 based locale,
530,Asynchronous Comprehensions,
528,Change Windows console encoding to UTF-8,
529,Change Windows filesystem encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
526,Syntax for Variable Annotations,
540,Add a new UTF-8 Mode,
523,Adding a frame evaluation API to CPython,
519,Adding a file system path protocol,
518,Specifying Minimum Build System Requirements for Python Projects,
515,Underscores in Numeric Literals,
525,Asynchronous Generators,
524,Make os.urandom() blocking on Linux,
520,Preserving Class Attribute Definition Order,
517,A build-system independent format for source trees,
508,Dependency specification for Python Software Packages,
506,Adding A Secrets Module To The Standard Library,
503,Simple Repository API,
498,Literal String Interpolation,
495,Local Time Disambiguation,
493,HTTPS verification migration tools for Python 2.7,
492,Coroutines with async and await syntax,
489,Multi-phase extension module initialization,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
486,Make the Python Launcher aware of virtual environments,
485,A Function for testing approximate equality,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,
484,Type Hints,
479,Change StopIteration handling inside generators,
475,Retry system calls failing with EINTR,
471,os.scandir() function ,
468,Preserving the order of **kwargs in a function.,
466,Network Security Enhancements for Python 2.7.x,
456,Secure and interchangeable hash algorithm,
454,Add a new tracemalloc module to trace Python memory allocations,
453,Explicit bootstrapping of pip in Python installations,
465,A dedicated infix operator for matrix multiplication,
451,A ModuleSpec Type for the Import System,
450,Adding A Statistics Module To The Standard Library,
461,Adding % formatting to bytes and bytearray,
448,Additional Unpacking Generalizations,
441,Improving Python ZIP Application Support,
440,Version Identification and Dependency Specification,
435,Adding an Enum type to the Python standard library,
446,Make newly created file descriptors non-inheritable,
445,Add new APIs to customize Python memory allocators,
443,Single-dispatch generic functions,
442,Safe object finalization,
436,The Argument Clinic DSL,
428,The pathlib module ,
427,The Wheel Binary Package Format 1.0,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
418,"Add monotonic time, performance counter, and process time functions",
417,Including mock in the Standard Library,
409,Suppressing exception context,
405,Python Virtual Environments,
393,Flexible String Representation,
397,Python launcher for Windows,
415,Implement context suppression with exception attributes,
391,Dictionary-Based Configuration For Logging,
412,Key-Sharing Dictionary,
414,Explicit Unicode Literal for Python 3.3,
389,argparse - New Command Line Parsing Module,
384,Defining a Stable ABI,
383,Non-decodable Bytes in System Character Interfaces,
380,Syntax for Delegating to a Subgenerator,
378,Format Specifier for Thousands Separator,
376,Database of Installed Python Distributions,
372,Adding an ordered dictionary to collections,
371,Addition of the multiprocessing package to the standard library,
370,Per user site-packages directory,
366,Main module explicit relative imports,
362,Function Signature Object,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
343,The “with” Statement,
328,Imports: Multi-Line and Absolute/Relative,
342,Coroutines via Enhanced Generators,
341,Unifying try-except and try-finally,
338,Executing modules as scripts,
327,Decimal Data Type,
331,Locale-Independent Float/String Conversions,
324,subprocess - New process module,
322,Reverse Iteration,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
308,Conditional Expressions,
307,Extensions to the pickle protocol,
318,Decorators for Functions and Methods,
305,CSV File API,
302,New Import Hooks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
309,Partial Function Application,
292,Simpler String Substitutions,
285,Adding a bool type,
282,A Logging System,
278,Universal Newline Support,
293,Codec Error Handling Callbacks,
277,Unicode file name support for Windows NT,
289,Generator Expressions,
279,The enumerate() built-in function,
261,Support for “wide” Unicode characters,
274,Dict Comprehensions,
255,Simple Generators,
273,Import Modules from Zip Archives,
264,Future statements in simulated shells,
253,Subtyping Built-in Types,
263,Defining Python Source Code Encodings,
260,Simplify xrange(),
250,Using site-packages on Windows,
237,Unifying Long Integers and Integers,
236,Back to the __future__,
234,Iterators,
252,Making Types Look More Like Classes,
232,Function Attributes,
238,Changing the Division Operator,
235,Import on Case-Insensitive Platforms,
230,Warning Framework,
229,Using Distutils to Build Python,
227,Statically Nested Scopes,
223,Change the Meaning of ,
221,Import As,
218,Adding a Built-In Set Object Type,
217,Display Hook for Interactive Use,
214,Extended Print Statement,
208,Reworking the Coercion Model,
207,Rich Comparisons,
205,Weak References,
203,Augmented Assignments,
202,List Comprehensions,
201,Lockstep Iteration,
100,Python Unicode Integration,
727,Documentation Metadata in Typing,
720,Cross-compiling Python packages,
718,Subscriptable functions,
726,Module ,
712,Adding a “converter” parameter to dataclasses.field,
725,Specifying external dependencies in pyproject.toml,
723,Embedding pyproject.toml in single-file scripts,
711,PyBI: a standard format for distributing Python Binaries,
722,Dependency specification for single-file scripts,
696,Type defaults for TypeVarLikes,
694,Upload 2.0 API for Python Package Repositories,
702,Marking deprecations using the type system,
679,Allow parentheses in assert statements,
671,Syntax for late-bound function argument defaults,
710,Recording the provenance of installed packages,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
703,Making the Global Interpreter Lock Optional in CPython,
667,Consistent views of namespaces,
638,Syntactic Macros,
603,Adding a frozenmap type to collections,
588,GitHub Issues Migration Plan,
659,Specializing Adaptive Interpreter,
653,Precise Semantics for Pattern Matching,
639,Improving License Clarity with Better Package Metadata,
661,Sentinel Values,
