number,name,status
1,PEP Purpose and Guidelines,
13,Python Language Governance,
676,PEP Infrastructure Process,
10,Voting Guidelines,
8,Style Guide for Python Code,
387,Backwards Compatibility Policy,
581,Using GitHub Issues for CPython,
609,Python Packaging Authority (PyPA) Governance,
12,Sample reStructuredText PEP Template,
11,CPython platform support,
7,Style Guide for C Code,
2,Procedure for Adding New Modules,
4,Deprecation of Standard Modules,
6,Bug Fix Releases,
579,Refactoring C functions and methods,
307,Extensions to the pickle protocol,
5,Guidelines for Language Evolution,
462,Core development workflow automation for CPython,
543,A Unified TLS API for Python,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8013,The External Council Governance Model,
8012,The Community Governance Model,
8010,The Technical Leader Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
3153,Asynchronous IO support,
3152,Cofunctions,
3145,Asynchronous I/O For subprocess.Popen,
3146,Merging Unladen Swallow into CPython,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3142,Add a “while” clause to generator expressions,
3136,Labeled break and continue,
3133,Introducing Roles,
3130,Access to Current Module/Class/Function,
3126,Remove Implicit String Concatenation,
3128,BList: A Faster List-like Type,
3117,Postfix type declarations,
3125,Remove Backslash Continuation,
3122,Delineation of the main module,
3103,A Switch/Case Statement,
3001,Procedure for reviewing and improving standard library modules,
754,IEEE 754 Floating Point Special Values,
713,Callable Modules,
707,A simplified signature for __exit__ and __aexit__,
704,Require virtual environments by default for package installers,
666,Reject Foolish Indentation,
677,Callable Type Syntax,
690,Lazy Imports,
665,A file format to list Python dependencies for reproducibility of an application,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
645,Allow writing optional types as ,
648,Extensible customizations of the interpreter at startup,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,
637,Support for indexing with keyword arguments,
633,Dependency specification in pyproject.toml using an exploded TOML table,
611,The one million limit,
622,Structural Pattern Matching,
631,Dependency specification in pyproject.toml based on PEP 508,
608,Coordinated Python release,
620,Hide implementation details from the C API,
606,Python Compatibility Version,
601,Forbid return/break/continue breaking out of finally,
595,Improving bugs.python.org,
605,A rolling feature release stream for CPython,
599,The manylinux2014 Platform Tag,
598,Introducing incremental feature releases,
583,A Concurrency Memory Model for Python,
582,Python local packages directory,
580,The C call protocol,
575,Unifying function/method classes,
576,Rationalize Built-in function classes,
559,Built-in noop(),
577,Augmented Assignment Expressions,
550,Execution Context,
571,The manylinux2010 Platform Tag,
555,Context-local variables (contextvars),
551,Security transparency in the Python runtime,
549,Instance Descriptors,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
542,Dot Notation Assignment In Function Header,
521,Managing global context via ‘with’ blocks in generators and coroutines,
548,More Flexible Loop Control,
531,Existence checking operators,
522,Allow BlockingIOError in security sensitive APIs,
516,Build system abstraction for pip/conda etc,
510,Specialize functions with guards,
511,API for code transformers,
513,A Platform Tag for Portable Linux Built Distributions,
502,String Interpolation - Extended Discussion,
509,Add a private version to dict,
504,Using the System RNG by default,
500,A protocol for delegating datetime methods to their tzinfo implementations,
507,Migrate CPython to Git and GitLab,
497,A standard mechanism for backward compatibility,
496,Environment Markers,
473,Adding structured data to built-in exceptions,
490,Chain exceptions at C level,
481,"Migrate CPython to Git, Github, and Phabricator",
469,Migration of dict iteration code to Python 3,
474,Creating forge.python.org,
472,Support for indexing with keyword arguments,
439,Inclusion of implicit pip bootstrap in Python installation,
460,Add binary interpolation and formatting,
463,Exception-catching expressions,
437,"A DSL for specifying signatures, annotations and argument converters",
459,Standard Metadata Extensions for Python Software Packages,
455,Adding a key-transforming dictionary to collections,
432,Restructuring the CPython startup sequence,
433,Easier suppression of file descriptor inheritance,
431,Time zone support improvements,
426,Metadata for Python Software Packages 2.0,
422,Simpler customisation of class creation,
416,Add a frozendict builtin type,
408,Standard library __preview__ package,
411,Provisional packages in the Python standard library,
413,Faster evolution of the Python Standard Library,
410,Use decimal.Decimal type for timestamps,
402,Simplified Package Layout and Partitioning,
401,BDFL Retirement,
396,Module Version Numbers,
406,Improved Encapsulation of Import State,
386,Changing the version comparison module in Distutils,
390,Static metadata for Distutils,
395,Qualified Names for Modules,
382,Namespace Packages,
381,Mirroring infrastructure for PyPI,
379,Adding an Assignment Expression,
365,Adding the pkg_resources module,
377,Allow __enter__() methods to skip the statement body,
367,New Super,
369,Post import hooks,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
359,The “make” Statement,
354,Enumerations in Python,
350,Codetags,
355,Path - Object oriented filesystem paths,
349,Allow str() to return unicode strings,
351,The freeze protocol,
346,User Defined (”,
348,Exception Reorganization for Python 3.0,
345,Metadata for Python Software Packages 1.2,
344,Exception Chaining and Embedded Tracebacks,
340,Anonymous Block Statements,
336,Make None Callable,
339,Design of the CPython Compiler,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
332,Byte vectors and String/Unicode Unification,
330,Python Bytecode Verification,
329,Treating Builtins as Constants in the Standard Library,
319,Python Synchronize/Asynchronize Block,
326,A Case for Top and Bottom Values,
321,Date/Time Parsing and Formatting,
325,Resource-Release Support for Generators,
317,Eliminate Implicit Exception Instantiation,
315,Enhanced While Loop,
314,Metadata for Python Software Packages 1.1,
310,Reliable Acquisition/Release Pairs,
306,How to Change Python’s Grammar,
313,Adding Roman Numeral Literals to Python,
303,Extend divmod() for Multiple Divisors,
304,Controlling Generation of Bytecode Files,
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
295,Interpretation of multiline string constants,
296,Adding a bytes Object Type,
294,Type Names in the types Module,
281,Loop Counter Iteration with range and xrange,
276,Simple Iterator for ints,
284,Integer for-loops,
288,Generators Attributes and Exceptions,
275,Switching on Multiple Values,
271,Prefixing sys.path by command line option,
268,Extended HTTP functionality and WebDAV,
270,uniq method for list objects,
266,Optimizing Global Variable/Attribute Access,
262,A Database of Installed Python Packages,
259,Omit printing newline after newline,
265,Sorting Dictionaries by Value,
245,Python Interface Syntax,
246,Object Adaptation,
256,Docstring Processing System Framework,
243,Module Repository Upload Mechanism,
254,Making Classes Look More Like Types,
258,Docutils Design Specification,
244,The ,
242,Numeric Kinds,
241,Metadata for Python Software Packages,
231,__findattr__(),
224,Attribute Docstrings,
220,"Coroutines, Generators, Continuations",
228,Reworking Python’s Numeric Model,
225,Elementwise/Objectwise Operators,
239,Adding a Rational Type to Python,
240,Adding a Rational Literal to Python,
215,String Interpolation,
216,Docstring Format,
212,Loop Counter Iteration,
211,Adding A New Outer Product Operator,
209,Multi-dimensional Arrays,
210,Decoupling the Interpreter Loop,
204,Range Literals,
206,Python Advanced Library,
3143,Standard daemon process library,
3,Guidelines for Handling Bug Reports,
102,Doing Python Micro Releases,
103,Collecting information about git,
3150,Statement local namespaces (aka “given” clause),
42,Feature Requests,
9,Sample Plaintext PEP Template,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
674,Disallow using macros as l-values,
568,Generator-sensitivity for Context Variables,
556,Threaded garbage collection,
547,Running extension modules using the -m option,
536,Final Grammar for Literal String Interpolation,
535,Rich comparison chaining,
534,Improved Errors for Missing Standard Library Modules,
558,Defined semantics for locals(),
532,A circuit breaking protocol and binary operators,
533,Deterministic cleanup for iterators,
505,None-aware operators,
501,General purpose string interpolation,
499,,
491,The Wheel Binary Package Format 1.9,
444,Python Web3 Interface,
447,Add __getdescriptor__ method to metaclass,
419,Protecting cleanup statements from interruptions,
423,Naming conventions and recipes related to packaging,
407,New release cycle and introducing long-term support versions,
403,General purpose decorator clause (aka “@in” clause),
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
337,Logging Usage in the Standard Library,
368,Standard image protocol and class,
323,Copyable Iterators,
316,Programming by Contract for Python,
312,Simple Implicit Lambda,
286,Enhanced Argument Tuples,
233,Python Online Help,
280,Optimizing access to globals,
269,Pgen Module for Python,
222,Web Library Enhancements,
267,Optimized Access to Module Namespaces,
8001,Python Governance Voting Process,
213,Attribute Access Handlers,
3099,Things that will Not Change in Python 3000,
219,Stackless Python,
3000,Python 3000,
3100,Miscellaneous Python 3.0 Plans,
3002,Procedure for Backwards-Incompatible Changes,
3003,Python Language Moratorium,
541,Package Index Name Retention,
545,Python Documentation Translations,
512,Migrating from hg.python.org to GitHub,
537,Python 3.7 Release Schedule,
494,Python 3.6 Release Schedule,
478,Python 3.5 Release Schedule,
470,Removing External Hosting Support on PyPI,
464,Removal of the PyPI Mirror Authenticity API,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
398,Python 3.3 Release Schedule,
392,Python 3.2 Release Schedule,
429,Python 3.4 Release Schedule,
385,Migrating from Subversion to Mercurial,
438,Transitioning to release-file hosting on PyPI,
404,Python 2.8 Un-release Schedule,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
320,Python 2.4 Release Schedule,
361,Python 2.6 and 3.0 Release Schedule,
283,Python 2.3 Release Schedule,
373,Python 2.7 Release Schedule,
356,Python 2.5 Release Schedule,
347,Migrating the Python CVS to Subversion,
360,Externally Maintained Packages,
251,Python 2.2 Release Schedule,
226,Python 2.1 Release Schedule,
160,Python 1.6 Release Schedule,
3155,Qualified name for classes and functions,
200,Python 2.0 Release Schedule,
3154,Pickle protocol version 4,
3151,Reworking the OS and IO exception hierarchy,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3149,ABI version tagged .so files,
3148,futures - execute computations asynchronously,
3147,PYC Repository Directories,
3141,A Type Hierarchy for Numbers,
3144,IP Address Manipulation Library for the Python Standard Library,
3138,String representation in Python 3000,
3137,Immutable Bytes and Mutable Buffer,
3135,New Super,
3134,Exception Chaining and Embedded Tracebacks,
3131,Supporting Non-ASCII Identifiers,
3127,Integer Literal Support and Syntax,
3129,Class Decorators,
3123,Making PyObject_HEAD conform to standard C,
3120,Using UTF-8 as the default source encoding,
3119,Introducing Abstract Base Classes,
3118,Revising the buffer protocol,
3116,New I/O,
3114,Renaming iterator.next() to iterator.__next__(),
3115,Metaclasses in Python 3000,
3113,Removal of Tuple Parameter Unpacking,
3112,Bytes literals in Python 3000,
3111,Simple input built-in in Python 3000,
3110,Catching Exceptions in Python 3000,
3109,Raising Exceptions in Python 3000,
3132,Extended Iterable Unpacking,
3107,Function Annotations,
3108,Standard Library Reorganization,
3106,"Revamping dict.keys(), .values() and .items()",
3105,Make print a function,
3104,Access to Names in Outer Scopes,
3102,Keyword-Only Arguments,
3101,Advanced String Formatting,
715,Disabling bdist_egg distribution uploads on PyPI,
721,Using tarfile.data_filter for source distribution extraction,
706,Filter for tarfile.extractall,
689,Unstable C API tier,
697,Limited C API for Extending Opaque Types,
682,Format Specifier for Signed Zero,
657,Include Fine Grained Error Locations in Tracebacks,
644,Require OpenSSL 1.1.1 or newer,
670,Convert macros to functions in the Python C API,
660,Editable installs for pyproject.toml based builds (wheel based),
656,Platform Tag for Linux Distributions Using Musl,
652,Maintaining the Stable ABI,
643,Metadata for Package Source Distributions,
628,Add ,
629,Versioning PyPI’s Simple API,
627,Recording installed projects,
626,Precise line numbers for debugging and other tools.,
624,Remove Py_UNICODE encoder APIs,
623,Remove wstr from Unicode,
621,Storing project metadata in pyproject.toml,
618,Add Optional Length-Checking To zip,
610,Recording the Direct URL Origin of installed distributions,
614,Relaxing Grammar Restrictions On Decorators,
616,String methods to remove prefixes and suffixes,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
597,Add optional EncodingWarning,
587,Python Initialization Configuration,
594,Removing dead batteries from the standard library,
592,Adding “Yank” Support to the Simple API,
585,Type Hinting Generics In Standard Collections,
574,Pickle protocol 5 with out-of-band data,
584,Add Union Operators To dict,
570,Python Positional-Only Parameters,
573,Module State Access from C Extension Methods,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
564,Add new time functions with nanosecond resolution,
572,Assignment Expressions,
565,Show DeprecationWarning in __main__,
561,Distributing and Packaging Type Information,
562,Module __getattr__ and __dir__,
557,Data Classes,
538,Coercing the legacy C locale to a UTF-8 based locale,
552,Deterministic pycs,
540,Add a new UTF-8 Mode,
530,Asynchronous Comprehensions,
553,Built-in breakpoint(),
539,A New C-API for Thread-Local Storage in CPython,
529,Change Windows filesystem encoding to UTF-8,
528,Change Windows console encoding to UTF-8,
524,Make os.urandom() blocking on Linux,
527,Removing Un(der)used file types/extensions on PyPI,
526,Syntax for Variable Annotations,
523,Adding a frame evaluation API to CPython,
520,Preserving Class Attribute Definition Order,
525,Asynchronous Generators,
518,Specifying Minimum Build System Requirements for Python Projects,
519,Adding a file system path protocol,
517,A build-system independent format for source trees,
503,Simple Repository API,
506,Adding A Secrets Module To The Standard Library,
515,Underscores in Numeric Literals,
508,Dependency specification for Python Software Packages,
495,Local Time Disambiguation,
493,HTTPS verification migration tools for Python 2.7,
492,Coroutines with async and await syntax,
485,A Function for testing approximate equality,
498,Literal String Interpolation,
486,Make the Python Launcher aware of virtual environments,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
484,Type Hints,
479,Change StopIteration handling inside generators,
477,Backport ensurepip (PEP 453) to Python 2.7,
489,Multi-phase extension module initialization,
476,Enabling certificate verification by default for stdlib http clients,
471,os.scandir() function ,
468,Preserving the order of **kwargs in a function.,
475,Retry system calls failing with EINTR,
465,A dedicated infix operator for matrix multiplication,
461,Adding % formatting to bytes and bytearray,
456,Secure and interchangeable hash algorithm,
466,Network Security Enhancements for Python 2.7.x,
454,Add a new tracemalloc module to trace Python memory allocations,
453,Explicit bootstrapping of pip in Python installations,
446,Make newly created file descriptors non-inheritable,
450,Adding A Statistics Module To The Standard Library,
448,Additional Unpacking Generalizations,
445,Add new APIs to customize Python memory allocators,
443,Single-dispatch generic functions,
451,A ModuleSpec Type for the Import System,
442,Safe object finalization,
